date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-08-23,3.84,3.84,3.81,3.79,88120.5,-0.03,-0.78,3.834,3.806,3.856,112220.71,103904.5,131716.2
2019-08-22,3.84,3.85,3.84,3.82,68230.46,0.01,0.26,3.826,3.805,3.87,111106.71,110277.54,135590.84
2019-08-21,3.83,3.86,3.83,3.82,100514.1,-0.02,-0.52,3.812,3.799,3.884,121926.42,114018.25,138331.59
2019-08-20,3.84,3.9,3.85,3.83,146235.0,0.01,0.26,3.8,3.79,3.898,119846.15,114577.45,144360.85
2019-08-19,3.78,3.85,3.84,3.77,158003.48,0.07,1.86,3.784,3.779,3.912,105399.61,131782.41,149574.54
2019-08-16,3.76,3.79,3.77,3.75,82550.5,0.0,0.0,3.778,3.784,3.927,95588.29,131779.4,156192.79
2019-08-15,3.72,3.8,3.77,3.67,122329.0,0.0,0.0,3.784,3.799,3.944,109448.37,146715.05,165690.55
2019-08-14,3.8,3.82,3.77,3.77,90112.79,0.0,0.0,3.786,3.821,3.96,106110.09,149076.28,168789.45
2019-08-13,3.78,3.78,3.77,3.75,74002.26,-0.04,-1.05,3.78,3.846,3.976,109308.74,154691.9,175334.51
2019-08-12,3.81,3.81,3.81,3.73,108946.9,0.01,0.26,3.774,3.878,3.99,158165.22,160496.36,181056.59
2019-08-09,3.82,3.85,3.8,3.76,151850.91,0.02,0.53,3.79,3.906,4.001,167970.52,159527.9,182585.89
2019-08-08,3.77,3.79,3.78,3.76,105637.59,0.04,1.07,3.814,3.935,4.01,183981.72,160904.15,180103.48
2019-08-07,3.77,3.78,3.74,3.74,106106.06,0.0,0.0,3.856,3.968,4.021,192042.46,162644.93,181341.8
2019-08-06,3.85,3.85,3.74,3.66,318284.62,-0.15,-3.86,3.912,4.006,4.034,200075.05,174144.25,180938.94
2019-08-05,3.9,3.92,3.89,3.89,157973.41,-0.03,-0.77,3.982,4.044,4.05,162827.51,167366.68,169918.86
2019-08-02,3.94,3.96,3.92,3.9,231906.91,-0.07,-1.75,4.022,4.069,4.057,151085.28,180606.17,170544.6
2019-08-01,4.01,4.02,3.99,3.97,145941.31,-0.03,-0.75,4.056,4.089,4.068,137826.58,184666.05,163624.87
2019-07-31,4.07,4.08,4.02,4.02,146269.02,-0.07,-1.71,4.08,4.098,4.075,133247.4,188502.62,161149.76
2019-07-30,4.08,4.11,4.09,4.07,132046.91,0.0,0.0,4.1,4.105,4.08,148213.44,195977.12,159658.38
2019-07-29,4.1,4.11,4.09,4.07,99262.26,0.0,0.0,4.106,4.102,4.083,171905.84,201616.82,162150.4
2019-07-26,4.1,4.13,4.09,4.06,165613.38,-0.02,-0.49,4.116,4.095,4.086,210127.06,205643.88,169672.86
2019-07-25,4.12,4.12,4.11,4.09,123045.44,-0.01,-0.24,4.122,4.085,4.085,231505.52,199302.82,168586.15
2019-07-24,4.12,4.16,4.12,4.11,221099.19,0.0,0.0,4.116,4.073,4.086,243757.84,200038.67,171318.87
2019-07-23,4.17,4.19,4.12,4.1,250508.92,-0.02,-0.48,4.11,4.062,4.085,243740.81,187733.64,167078.26
2019-07-22,4.12,4.18,4.14,4.02,290368.38,0.02,0.48,4.098,4.055,4.085,231327.81,172471.05,167577.6
2019-07-19,4.11,4.16,4.12,4.11,272505.69,0.04,0.98,4.074,4.045,4.087,201160.7,160483.02,177402.62
2019-07-18,4.08,4.11,4.08,4.06,184307.02,-0.01,-0.24,4.048,4.047,4.085,167100.11,142583.68,178569.08
2019-07-17,4.09,4.13,4.09,4.07,221014.02,0.03,0.74,4.03,4.052,4.083,156319.49,133796.89,182195.73
2019-07-16,4.02,4.09,4.06,4.0,188443.92,0.04,0.99,4.014,4.055,4.078,131726.47,123339.63,179310.73
2019-07-15,3.99,4.03,4.02,3.93,139532.84,0.03,0.75,4.012,4.064,4.073,113614.29,122683.98,175251.71
2019-07-12,4.0,4.0,3.99,3.96,102202.76,0.0,0.0,4.016,4.077,4.071,119805.34,133701.84,173958.89
2019-07-11,4.01,4.05,3.99,3.97,130403.92,-0.02,-0.5,4.046,4.085,4.07,118067.25,137869.48,175907.79
2019-07-10,4.05,4.07,4.01,3.99,98048.93,-0.04,-0.99,4.074,4.098,4.071,111274.29,142599.07,176584.17
